,キャッチコピー,ステータス,企業名,初年度年収
0,自社製品開発エンジニア【PG・SE】 正社員,正社員,クオリティソフト株式会社 | 100%自社製品開発／上流工程に携われます,400万円～700万円
1,未経験者積極採用中！ エンジニアデビューを応援します【SE/PG】 正社員,正社員,株式会社c.paradiso | 残業は月平均0～20時間／年間休日126日／産休・育休あり,300万円～600万円
2,案件も働き方も自由に選べる【ITエンジニア】※技術転換もok 正社員,正社員,グルーコードテクノロジーズ株式会社 | 【グルーコードグループ】★コロナ禍でも成長／積極採用中,450万円～1500万円
3,"""水""というライフラインを支える【水道技師】★平均月収45万円超 正社員",正社員,Rセキュリティ株式会社 | 20年連続増収増益◆2020年2~5月は売上前年比125％◆完全週休二日,450万円～550万円
4,＼未経験歓迎／【営業】★応募者全員と面接します！(39歳まで) 正社員,正社員,株式会社IDOM | 旧社名：ガリバーインターナショナル◇Gulliver【東証1部上場】,
5,理系限定【開発エンジニア職(ソフト・電気・機械)】上流工程担当 正社員,正社員,株式会社アルトナー | 設立60年／東証一部上場／業界トップクラスの技術力が自慢,
6,社員の声と想いが生み出す職場環境が自慢！【ITエンジニア】 正社員,正社員,株式会社アカリエ | 介護市場100兆円超の巨大マーケットにITスキルを武器に挑戦！,360万円～780万円
7,【ITエンジニア】※経験者は前給考慮！未経験者は90日の研修あり 正社員,正社員,株式会社セルア | 大阪府緊急雇用対策に賛同｜土日の完全週休2日で年間休日123日！,250万円～700万円
8,コロナ禍でも安定成長【ITエンジニア】★残業月11h/年休125日 正社員,正社員,株式会社スタッフサービス | エンジニアリング事業本部,300万円～700万円
9,【ITエンジニア】現状に満足せず、更なる高みを目指す人へ――。 正社員,正社員,株式会社レクシス | ★前職の給与を保証 ！ERP導入案件に携わり、キャリアアップを！,450万円～900万円
10,未経験からはじめる【初級エンジニア】★年休125日～ ★残業少 正社員,正社員,"株式会社エルバークJohn | ★受託案件も拡充 ★土日祝休 ★1,000人以上を育てた研修あり",
11,ちょっとしか経験がない…そんな方も大歓迎！【プログラマー】 正社員,正社員,株式会社ケアリッツ・アンド・パートナーズ | 将来性高い「IT」と「介護」事業を展開 ★ 残業ほぼナシ！,400万円～1020万円
