,キャッチコピー,ステータス,企業名,初年度年収
0,自社製品開発エンジニア【PG・SE】 正社員,正社員,クオリティソフト株式会社 | 100%自社製品開発／上流工程に携われます,400万円～700万円
1,未経験者積極採用中！ エンジニアデビューを応援します【SE/PG】 正社員,正社員,株式会社c.paradiso | 残業は月平均0～20時間／年間休日126日／産休・育休あり,300万円～600万円
2,案件も働き方も自由に選べる【ITエンジニア】※技術転換もok 正社員,正社員,グルーコードテクノロジーズ株式会社 | 【グルーコードグループ】★コロナ禍でも成長／積極採用中,450万円～1500万円
3,"""水""というライフラインを支える【水道技師】★平均月収45万円超 正社員",正社員,Rセキュリティ株式会社 | 20年連続増収増益◆2020年2~5月は売上前年比125％◆完全週休二日,450万円～550万円
4,＼未経験歓迎／【営業】★応募者全員と面接します！(39歳まで) 正社員,正社員,株式会社IDOM | 旧社名：ガリバーインターナショナル◇Gulliver【東証1部上場】,
5,理系限定【開発エンジニア職(ソフト・電気・機械)】上流工程担当 正社員,正社員,株式会社アルトナー | 設立60年／東証一部上場／業界トップクラスの技術力が自慢,
6,社員の声と想いが生み出す職場環境が自慢！【ITエンジニア】 正社員,正社員,株式会社アカリエ | 介護市場100兆円超の巨大マーケットにITスキルを武器に挑戦！,360万円～780万円
7,【ITエンジニア】※経験者は前給考慮！未経験者は90日の研修あり 正社員,正社員,株式会社セルア | 大阪府緊急雇用対策に賛同｜土日の完全週休2日で年間休日123日！,250万円～700万円
8,コロナ禍でも安定成長【ITエンジニア】★残業月11h/年休125日 正社員,正社員,株式会社スタッフサービス | エンジニアリング事業本部,300万円～700万円
9,【ITエンジニア】現状に満足せず、更なる高みを目指す人へ――。 正社員,正社員,株式会社レクシス | ★前職の給与を保証 ！ERP導入案件に携わり、キャリアアップを！,450万円～900万円
10,未経験からはじめる【初級エンジニア】★年休125日～ ★残業少 正社員,正社員,"株式会社エルバークJohn | ★受託案件も拡充 ★土日祝休 ★1,000人以上を育てた研修あり",
11,ちょっとしか経験がない…そんな方も大歓迎！【プログラマー】 正社員,正社員,株式会社ケアリッツ・アンド・パートナーズ | 将来性高い「IT」と「介護」事業を展開 ★ 残業ほぼナシ！,400万円～1020万円
12,＼未経験からITデビュー／【ITサポート】★土日祝休★残業月20h 正社員,正社員,ジャパニアス株式会社 | 【全国に11拠点を展開】◆転勤なし◆年間休日125日◆残業月20H,320万円～500万円
13,全国募集！自社内開発【SE】★土日祝休★残業月20H★未経験OK！ 正社員,正社員,ジャパニアス株式会社 | 【全国に11拠点展開】◆転勤なし◆残業代100％支給◆在宅勤務有,400万円～800万円
14,業務システムの【コンサルティングエンジニア】☆副業可 正社員,正社員,株式会社エッグシステム | ◆完全週休2日制(土日祝休み)◆年休120日以上◆残業ほぼなし,400万円～600万円
15,【インフラ/開発エンジニア】エンジニアデビューも全力応援！ 正社員,正社員,株式会社アクロビジョン | 《社員ファースト企業》★高い定着率 ★Web面接1回で内定！,260万円～800万円
16,【企画営業(セキュア事業部)】社会人経験3年くらいまでの方対象 正社員,正社員,凸版印刷株式会社 | 東証一部上場企業｜「可能性をデザインする」総合企業,400万円～550万円
17,月35万～【ITエンジニア】★有給消化81％★年休126日／学歴不問 正社員,正社員,株式会社アイエスエフネット | ★在宅勤務OK★完全週休2日★平均残業7.8h★インセンMAX60％,450万円～1000万円
18,【インフラ系エンジニア】◆インフラの提案導入からサポートまで 正社員,正社員,Ｓｋｙ株式会社 | ＜社員定着率96％※2021年3月期＞,
19,中途入社者の9割が年収アップ◆賞与年2回【インフラエンジニア】 正社員,正社員,アデコ株式会社 | Modis事業本部【帰社日＆日報なし★リモートワークも実施中！】,350万円～1000万円
20,成長が叶う転職先で今年を締めくくろう！【ITエンジニア】 正社員,正社員,株式会社アイビス | ※大阪限定募集※ 人気アプリ「ibisPaint」を開発◎年休125日,400万円～600万円
21,【ITエンジニア(開発/インフラ)】★土日祝休み★残業月平均20h程 正社員,正社員,株式会社S．E．C | <12年連続黒字＆売上UPの成長企業>★年間休日125日★定着率約9割,350万円～800万円
22,【ITエンジニア】★昨年99％のエンジニアが昇給した育ち盛り企業 正社員,正社員,IFS株式会社 | ★リモートワーク7割以上★1日6時間勤務を推進★昇給率8％～15％,360万円～720万円
23,【 ITエンジニア】★未経験・経験者とも歓迎★資格取得支援充実 正社員,正社員,アルユーアイ株式会社 | ★定着率90％★完全週休2日(土日)★年休126日★残業10時間以内,300万円～600万円
24,★未経験者歓迎【社内SE】年間休日126日/土日祝休/福利厚生充実 正社員,正社員,朝日機材株式会社 | 【昨年賞与実績平均7か月以上】【現在リモートワーク導入中】,300万円～550万円
25,社内の業務効率化を推進する【社内SE】★年収600万円以上可能 正社員,正社員,株式会社ＪＲ東日本商事 | JR東日本グループの基幹商社◆完週休2日(土日祝)◆年休120日以上,600万円～800万円
26,名古屋本社採用・転勤なし【SEPG／PLPM】★年間休日124日 正社員,正社員,株式会社インビリティー | 完全土日祝休み／フレックスタイム制あり★残業月15時間以下,400万円～700万円
27,面接保証！【商品管理事務】★20代活躍中★コロナ禍でも安定成長 正社員,正社員,グローバルトレード株式会社 | 【ブランド品買取・販売の業界大手】★月8日休み★残業少なめ,300万円～360万円
28,100％反響型・ノルマなし【ハウジングアドバイザー】完全週休2日 正社員,正社員,株式会社千葉東建設 | 未経験でも月給25万円～＋歩合給＋賞与年2回＋各種手当,350万円～550万円
29,東証一部上場企業で働く【営業】★安心できる給与体系！ 正社員,正社員,株式会社サニックス | ◆東証一部上場企業 ◆初任地は希望勤務地を確約／年間休日115日,
30,未経験から始める、商社の【ルート営業】※若手育成採用 正社員,正社員,轟産業株式会社 | ★年間休日127日★設立以来黒字経営★平均賞与支給額100万円！,350万円～450万円
31,「学ぶ」からスタートできる【ITコンサルタント】※未経験可 正社員,正社員,株式会社B・S・L | ◇上場・大手企業と取引◇多彩な研修プログラム有◇成長企業,300万円～800万円
32,【技術スタッフ】◆安定した給与体系◆直近30～40代の入社も多数 正社員,正社員,株式会社サニックス | ◆東証一部上場企業 ◆初任地は希望勤務地を確約／年間休日115日,
33,前給+30万円保証★私服ワークOK♪ 直請け75％！【ITエンジニア】 正社員,正社員,株式会社ケアリッツ・アンド・パートナーズ | 将来性高い「IT」と「介護」事業を展開 ★ 残業ほぼナシ！,420万円～1020万円
34,やりたいことを本気で実現！【ITエンジニア】★未経験OK 正社員,正社員,株式会社アンスール | 自社内開発やゲーム案件あり★テレワークOK＆残業少なめ♪,400万円～500万円
35,【SE・PG】★Web・スマホ・組込など幅広い分野★直請け6割以上 正社員,正社員,アートシステム株式会社 | ★約8割がリモート★社長が年3回全社員から直接希望を聞きます！,300万円～700万円
36,【役員車運転手】★平日日勤のみ！完全土日休み＆夜勤なし！ 契約社員,契約社員,株式会社トーコー | 未経験OK！複数名採用◆賞与年2回◆ノルマなし◆50～60代活躍中,300万円～400万円
37,【コンサルタント（IT/会計/生産）】リモートワーク｜未経験歓迎 正社員,正社員,アットストリームコンサルティング株式会社 | 東証一部上場・大手企業をメインに300社以上をコンサルティング,500万円～1700万円
38,太陽光システムなど次世代環境を守る機器の【メーカー営業】 正社員,正社員,株式会社サニックス | ◆東証一部上場企業 ◆年間休日115日 ◆初任地希望を確約,
39,【開発エンジニア】★社員平均年収UP額120万円 ★給与還元率79% 正社員,正社員,株式会社ICT-O | 開発のみ・上流工程に初挑戦もOK★月給33万円以上★毎年昇給有,400万円～800万円
40,20代女性活躍中◆未経験OK【事務スタッフ】研修あり×土日祝休 正社員,正社員,パーソルテンプスタッフ株式会社 | 大阪府緊急雇用対策に賛同/賞与年2回★研修充実★在宅ワークあり,250万円～350万円
41,【インフラエンジニア】◇年休123日/未経験者歓迎/残業月12.5h 正社員,正社員,株式会社テクノプロ | テクノプロ・IT社【東証一部上場 テクノプロ・グループ】,350万円～650万円
